Comment,label
整体来说真的很不错。性价比很高，下次还会继续光顾！,positive
会往下掉,negative
质量不好，半天没到就勾丝，还是一拉到头的拖丝，那么多好评不知道哪来的,negative
价格便宜，质量不错，值得购买,positive
丝袜收到了，质量很好，穿着舒服，透气性好，弹力够大,positive
质量很不错，不勾丝购买满意点个赞,positive
穿来穿去，还是这价的丝袜实惠又好穿，不容易拉丝有弹性，一条可以穿很久。,positive
质量不错，价格也不贵，良心卖家，好评,positive
此用户没有填写评论!,negative
质量非常好 不勾丝  不假白,positive
很不错，很满意，物流也很快,positive
很不错的一款产品，性价比高,positive
版型都很满意，有弹性，完全就是我想要的样子，不管是版型还是质量让好我开心,positive
质量很棒  颜色好看  一点不假  上身效果特别好  推荐,positive
质量很好，大小合适，很舒服，值得购买,positive
一天下来没发现，起球的情况颜色自然真的是值得推荐可以搭配裙子穿的时候我稍微用力拽了拽还是很结实的显得腿挺好看的，光滑感十足，positive
此用户没有填写评论!,negative
穿一次就这样质量太差了吧,negative
还没穿先备着吧，浪莎质量还是不错的,positive
想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！,positive
说话很一般，穿一次就坏了,negative
发货很快，包装的很好，价格也特别实惠，还有这么多功效也是不错了，值得购买,positive
挺好,positive
质量特别差，千万不要买，negative
(*^__^*)非常满意的一次购物，物有所值，比实体店里实惠多了！,positive
质量不错 不脱丝,positive
几个颜色都是我喜欢的，可以穿裙子啦，质量超级好，宝宝门们赶紧囤起来,positive
服务态度很好，性价比很高，做工精细穿起来很舒服,positive
特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！,positive
一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品,positive
真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！,positive
浪莎现在也这么糊弄买家了吗？,negative
质量特别好，款式好看，价格便宜，物超所值，老板发货速度也很快，值得大家放心购买吧,positive
这次包装是最好的一次了，没有损坏,positive
商品质量很好，谢谢良心卖家，会继续光临本店！祝生意兴隆，财源广进！,positive
质量太差 服务差 ，退也退不了,negative
很喜欢很喜欢,positive
挑了好久才决定买这个，果然物有所值，那种很亲肤的料子，摸着很舒服，而且没有丝毫异味~最讨厌有的那种袜子拆开一股难闻的味儿，而且还不知道啥材料，下次还买这个，已经推荐给朋友了。哈哈重点是完全不会很绷，看起来质量特别好。,positive
实在无语了 这质量：劝大家看好再下单 这手工：看好了再考虑 拆包检查，第二对就直接看见勾线，补了一对袜子的钱，我觉得吧，合理～然后 ，居然现在是不对称的袜头～我是直接无语了～外包装拆了，也收货了，还不知道有多少对是不合格的～,negative
真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！,positive
光滑不勾丝，弹性好，长度满意，好穿！整体质量满意，穿上舒适透气🍀🍀🍀🍀,positive
差评，差评，差评！ 淘宝十几年，头一次差评！ 袜子质量极差，短，短，短，我165的个子，竟然不够长，调档严重，走个10分钟，裤腰都能调到大腿根！！！,negative
挺好的，比在实体店买划算,positive
质量很好，还会购买,positive
质量特别好，穿着不紧绷，修饰腿型，客服态度也非常好，包装很严实，值得购买,positive
挺容易破的是真的～一天一条哈哈,negative
大品牌值得信赖，质量很好，物流很快,positive
绝对是最开心的一次购物，店家服务态度很好，售后也是,positive
发货超级快，到货超级快，包装很精致，真的是开启了新世界的大门&hellip;&hellip;,positive
丝袜弹性很好，不勾丝不起球，好评,positive
弹力还是比较大的，配裙子也很好看又时尚，主要是物美价廉，比实体店要便宜得多，重点是真的很显瘦,positive
已经帮家人入手两台了，黑色后盖质感比蓝色高级很多，也耐脏，性价比很高的机子，使用流畅不卡顿，大内存，是一台难得的LCD的中端机！,positive
一加手机已经收到并使用了一段时间，总体来说还是非常不错的，这个价位买到如此性价比的手机，不多。这个是入手第二个一加手机了，之前是8t。希望再接再厉，出性价比更好的手机。,positive
拍照效果：挺好 外形外观：挺好是挺好的，就是感觉缝隙有点大。。。。。。。。。。。。。。。。。。。。。。。。,positive
第一次买一加的手机，拿到的时候手感很好，运行很流畅 外形外观：颜值很喜欢 屏幕音效：屏幕不刺眼，音效很好 拍照效果：拍照效果清晰 运行速度：运行速度很快 待机时间：待机时间很长，一天一充,positive
外形外观：大小正好 屏幕音效：这个必须赞一个 这是我用的这个价位手机外放音效最好的 拍照效果：日用足足的 没毛病 运行速度：啥也不说了 爽 待机时间：够用 其他特色：非常满意的商品,positive
手机做工很不错，使用起来速度也很快，买了送给家里的老人很适合，8+128的配置能够很好的满足日常需要，这个颜色也不错，淡淡的蓝色，唯一遗憾的就是没有坚持到618买，贵了一百块，买手机还是要在搞活动买,positive
你们的输入法会黑闪吗,negative
手机手感很好， 充电也很快，最重要的是屏幕大而且为LCD的屏幕，晚上看书再也不辣眼睛了，护眼党狂喜。,positive
这个手机颜值是非常漂亮的，使用起来也是非常流畅，重点是买个长辈用也是相当好的，她非常满意，中老年打电话较多，声音也非常洪亮清晰，还是非常满意的,positive
最满意充电速度了，买给爸妈用很合适，电池容量大，充得也快。还有那个一加标志性的红色数据线也让人眼前一亮。,positive
作为颜值控特别心动这次的洛可可白。实际上手特别经验，系统流程拍照也很好，超出预期，近年来最好用的华为手机！,positive
一直都在使用iphone，最近想备一个备用机，看了很多品牌的国产机，最终还是被P60的颜值吸引了，准确的说是洛可可白这个配色。,positive
超级好用，手机质感很强，拍出来的照片很让人喜欢，送给妈妈的母亲节礼物，妈妈超级高兴，屏幕曲率也不是很大，舒服又方便，4g信号完全不输5g,positive
外形外观：大气美观屏幕音效：音效清晰简约拍照效果：拍照优秀运行速度：运行速度快而准确待机时间：待机时间大大提升，充电速度快其他特色：超薄，做工精美,positive
物美价廉，很OK，比实体店优惠太多了性价比高，我很喜欢，下次还会光临已经用过一段时间了，效果不错?，客服服务有耐心，解答详细，赞一个款式很大方，质量非常好，价钱也很合理真心喜欢，颜色、款式都非常棒！,positive
等了10多天的洛可可白，到手那一刻感觉等待是值得的。从四年前的P30到现在的P60，感觉又上了好几个等级，屏幕，相机的清晰度都很满意。,positive
华为手机还是挺值得拥有，买给妈妈用的，她还挺喜欢的，拍照像素也还挺好，外形外观：时尚大气，弧形屏幕还不错,positive
手机只敢在京东买，。算起来这是在京东买的第五部手机了，没有一个出现问题，京东值得信赖。发货快，质量有保障，售后更是给力。,positive
该机采用了高达8GB大内存设计，搭载了骁龙8+ 4G移动平台，在LPDDR5和UFS3.1技术的加持下，性能更强悍。而且，在华为鸿蒙系统的加持下，华为P60不管是应对大型手游，还是日常使用，都非常流畅的。尤其在游戏过程中，在骁龙8+处理器和鸿蒙系统的配合下，帧率表现更加稳定，游戏过程中，对于温度的控制，更是可圈可点的.,positive
运行畅快拍照清晰续航很好外观质感很好，超出预期，屏占比很高，游戏性能优秀，同价位优秀，推荐购买。物流超级快。,positive
这手机颜值担当，青釉色真的很美，特别那个原装配套青釉色的手机壳。运行速度也非常畅快，用起来非常顺手。,positive
对比了多款手机，一加的性价比最高，最后选了ACE 2V，反应快，打游戏爽到没朋友，手机我想象中的还要完美，十分给力，值得入手！,positive
手持手机时手感特别好，屏幕颜色也是非常的丰富，快充非常的快，非常的省心，不用再怕手机很快就没电了，外观超级美丽，性能小怪兽，打吃鸡王者都不在话下，超级帧率拉满！,positive
手机比想象的漂亮，这种超超大杯是中老年视频爱好者的必备之品，是一劳永逸的绝佳机会。手机屏幕和颜色老人都满意，手感也不错。拍照的快门速度不大行，但不能要求更高了，拍照效果也不错。续航也不错，昨天晚上到现在还有20%，重度使用视频使用测试通过?。总之是很好的购物体验，关于系统流畅性和耐用性会追评。,positive
一直看闺蜜在用一加，抱着试试的心态买来，感觉很不错，屏幕大，运行速度快，内存也够大，512完全放心下载各种应用软件，再也不用下载用完卸载要用又下载了，英雄联盟手游下载了还没开始玩，估计也不会差的??????，屏幕有保护膜，还送了保护套，快充充电也很快。,positive
手机挺漂亮，试用了一下流畅度还可以吧，跟价位一样，这个价位就不能要求太高，用着也可以了，我觉得还不错，屏幕滑动有点涩，可能不是钢化膜的原因，贴钢化膜会好很多，直屏拿在手里比曲面屏好很多，因为之前用苹果不习惯这个系统，申请退了。,negative
真的太喜欢了，拍照也挺不错的，没有网上说的那么不好，续航中规中矩吧，我就日常使用不怎么玩游戏，充电速度挺快的，真的很爱，青柚yyds,positive
手机收到了第一时间打开体验了一下，非常满意，手感和颜值超乎预期，配置很高，性价比很高。显示清晰，系统流畅，握感舒适。这是第二次使用一加手机了，一加手机一品控和做工一直非常好，下次继续支持。,positive
用了一段时间才来评价，很好。值得拥有。外形外观：漂亮大气拍照效果：清晰度高运行速度：快，不卡顿,positive
手机手感很好，拿着有一-种很高端的做工。磨砂材质后盖感觉非常好，防滑还细致。显示屏色彩艳丽，很适合煲剧。待机尚可，可以正常使用一两天。高强度使用可以坚持一整天。 信号不错。小房屋里信号稳定，比较稳定可靠。性价比很好的一款实用派手机，点赞。,positive
关注一加手机很久了，一直在等一款性价比高的款式，终于等到这一款，外观看着就很舒服，大小刚好，屏幕很清晰，很透彻，性能方面很给力，给老婆买的，她非常满意，以后打算给自己再买个高端一点的！,positive
外形外观：外观大气简洁！屏幕音效：屏幕清晰度高，不刺眼不闪光，音效也很不错。拍照效果：拍照虽然比不上专业的拍照手机，但是效果也很不错了，毕竟一分价钱一分货的道理是不变的运行速度：运行速度值得称赞，都不能用快来形容，得用飞快待机时间：待机时间很长，中度使用一天没啥问题,positive
手机已经收到跟描述的一样，太喜欢了外形外观：很漂亮屏幕音效：效果很好拍照效果：很清晰运行速度：很快,positive
用了一段时间了，感觉很不错，屏幕大小合适，也比较轻薄，手感很好，运行速度也很快，相机也拍得不错。续航方面，日常使用还是能够满足需求的。总之，性价比很高的一款手机。,positive
手机收到了，很漂亮，手感也很好，拍照效果也很好，超出预期。运行速度很快，续航也可以。总体来说非常满意，值得推荐购买。,positive
外观设计很漂亮，手感很好，运行速度也很快，屏幕显示效果很好，拍照效果也不错，续航能力也比较满意，整体使用体验非常不错，性价比很高。非常推荐购买。,positive
整体使用下来感觉不错，外观漂亮，手感好，运行流畅，续航也不错，拍照效果满意。总体来说是一款不错的手机，推荐购买。,positive
手机性能不错，运行流畅，拍照效果也不错，续航时间可以满足日常使用。外观设计也很漂亮，手感舒适。性价比很高，非常满意的一次购买。,positive
这款手机外观漂亮，屏幕显示清晰，运行速度快，拍照效果也很好，续航能力也不错，性价比很高。总体来说非常满意，推荐购买。,positive
手机外观漂亮，手感舒适，运行速度快，屏幕显示效果很好，拍照效果也不错，续航能力满足日常使用。总体来说是一款很不错的手机，值得购买。,positive
宝贝不错，老爸很喜欢，物流也很快,positive
手机很不错，老人很喜欢，好评！,positive
手机很不错，老人很喜欢，好评！,positive
手机已收到，妈妈很喜欢，声音大．晚上照明灯亮，很𣎴错,positive
声音很大，按键灵敏，还有手电筒,positive
买给老年人用的，电筒很亮，声音也很大，很不错,positive
发货快，包装完好。外观简单好看字体很大适合老人用！满意！,positive
老人非常好用的，音量大，待机时间长，客服态度很好，满意的一次购物。,positive
给老人用的！耐用才是硬道理！好评！,positive
给老人换的，打电话挺好，声音清晰。,positive
买的手机家里老人很喜欢，声音很大,positive
简单，明了，好操作，老人家易上手,positive
按键声音大，听筒清晰，又有照明功能，老人家用方便，物美价廉。,positive
挺好的而且物美价廉！,positive
质量太差了！卡不住！,negative
使用了一段时间从使用的情况质量很满意 其他特色：颜色鲜艳美观，妈妈很喜欢，满意的一次购物,positive
上一个丢了，重买的，妈妈用了喜欢！,positive
质量不错，已经是第二次购入了！声音够大，续航能力也很强！,positive
手机收到了很满意 小巧 带在身上方便，老人也喜欢 值得购买。,positive
不错，非常不错，质量太好了。,positive
不错 声音挺大 我娘喜欢用,positive
手机收到了，阴雨天没有领取，今天上午去领取一下，试用比较好。价格实惠，希望质量好点，用得久一点。,positive
用了觉得很不错，手机质量好，发货也挺快的，总之就是很赞了,positive
手机不错真的好用,positive
纽曼手机收到，包装完好，商家发货快，手机质量还可以，价格便宜，老年人用可以。五星好评。,positive
宝贝收到了 是棉质面料舒适柔软 尺码合适，卖家发货及时 服务很好 五星好评！,positive
材质也是杠杠的，超级喜欢，超级舒服，超级棒，，以这个价格去到哪里都买不到这么好的,positive
该品牌设计的非常漂亮，选用新疆优质纯棉制作，做工精细，质量特别好,positive
面料很好，是纯棉的，非常舒服，做工精细，正品.,positive
质量真的好，大品牌做工就是精致，新疆长绒棉穿着很舒服，很喜欢，客服态度好，快递也快，值得推荐,positive
衣服质量非常好，面料舒服透气性强，穿着尺寸大小合适.,positive
质量一般般,negative
宝贝收到了 感觉很不错,positive
新袜子有开丝 质量差 穿着效果差,negative
一次性袜子,negative
我这腿围挺细了 筒的地方感觉能勒出印子来 真的是一次性的😂,negative
小树林专用,positive
非常好,positive
很性感,positive
此用户没有填写评论!,negative
感觉一般,negative
不建议购买，穿上好像腿长皴了,negative
还没穿，不过看着还行,negative
此用户没有填写评论!,negative
一分钱一分货吧,positive
此用户没有填写评论!,negative
此用户没有填写评论!,negative
还没看,negative
真的垃圾，不建议买，浪费钱,negative
z,negative
挺薄的,negative
不好穿，挤大腿,negative
袜子太短了,negative
回来试一下，走2步路袜子已烂了。太渣了。,negative
没试呢,negative
什么玩意,negative
一般！,negative
垃圾袜子 一点也不好,negative
好,positive
容易破 我不建议购买,negative
质量太差了，刚穿就滑丝，劣质产品,negative
质量太差,negative
质量太差,negative
穿上去粗糙，一般般,negative
千万别买 走路下滑,negative
挺好的 下次还会介绍人买,positive
不好说，只能说这个价位就这样,negative
质量着实不咋滴，还没穿就抽丝了,negative
质量不错，很舒服,positive
好yi,positive
质量****太差了,negative
质量不怎么好,negative
不错不错，物美价廉滴，以后还买,positive
不错。质量很好，物美价廉,positive
质量很一般,negative
物美价廉,positive
质量不好，新袜子买来就有一个小孔。,negative
不错,positive
弹性效果好，不容易勾丝也不起球⚽颜色很很好看，质量还不错的，而是挺美肤，又显腿瘦～值得推荐！弹性大不掉,positive
超级好看，显瘦显腿长，回头率百分百 从没见过自己的腿这么光滑过hh！在室外光线下看着也很自然，不会反光，腿上的小鸡皮和暗沉都遮得住，我指甲刮到过几次也没有勾丝，还是一分钱一分货啊，爱穿小裙子的姐妹快试试！特别喜欢，弹性很好，穿起来很舒服，不会掉档，选这条不会错，性价比很高，包装得也用心爱了爱了，不起球不勾丝的超薄透气跟没穿一样💗💗,positive
"弹性好特别显腿瘦比我想象的好，没有紧绷，丝袜做工很精致，穿上后无臭味，感觉质量还是比较好的，与卖家描述的还是一致的，非常满意洗过也不会变形,防勾丝还能遮瑕,以后决定就在你家买了,现在穿着也不会闷,膝盖那里也不会堆起来,不会有褶皱,丝袜质量不错,舒适度也可以物超所值✌🧡 很耐穿=￣ω￣=能有效遮住我腿上的鸡皮肤,搭配小裙子穿出去太绝了",positive
"不会向下脱落⚡,价格也非常划算☔,拿来没什么难闻的气味🌃,一直都是在这家店购买丝袜,穿起来显得腿长性感～尺码大小合适,没有明显的划痕,做工还是比较细的,质量真的很好,好像还有防晒的效果,不勾丝弹性大，超级喜欢质量很好上腿非常的服帖真是太方便了，而且超显腿型。 可以装饰一下腿色和腿型，物超所所值，薄但很耐用",positive
过膝袜质量不错哦，蕾丝边的，真的很性感。穿着显的腿细腿也长了，👏没有紧绷感，比较显腿细弹性不错。买到就赚到心动的宝宝赶紧入手吧。非常有弹性，一点都不会勒的，超级显高又显瘦，简直是太爱了。高个子女生也完全不用担心，长度绝对够的特别显气质，腿看起来长了一大截，很适合高个子的女孩子，收到实物的时候看起来比照片里的还要性感，好姐妹都说好看要我分享链接，是真的不错，面料也不会起球勾丝，满意,positive
不会用看了说明也不会,negative
这是什么年代出来的东西,negative
别买，发过来线都是裂开的，好评都是耍上去的，丑的一批，穿个毛线。。。。。。包装都是破的，擦。。。。。,negative
商品质量不行，做工也不行，希望发货时好好检查,negative
虽然不是很好看，但挺暖和的,negative
衣服有些许线没剪好，其它的都可以。,negative
一次性的，但是价格。必定价格只是那么点！,negative
与我的定单不符，货号是100&mdash;185，我买的是110&mdash;150,negative
里面都有虫子   打包时没检查吗？,negative
不怎么样啊。有点失望的。,negative
没有客服   衣服质量差  快递路上就五六天  总算到快递员手里了  还不给送  要自己到驿站去取  不然就等着  关键是自己付了快递费的,negative
穿衣服时 咯吱窝破了 没啥说的自己不小心，洗衣服时洗衣机能把衣服洗破  没的说必须好评,negative
自己穿穿得了，想要当交旧品不行，做工还是和正品比起来次了点，还请需要交旧的同志们慎重考虑。,negative
垃圾，到处烂，,negative
面料感觉还是差一点,negative
保暖效果：太差,negative
质量太差了,negative
一般般,negative
不能穿,negative
色差太大，买的是黄色，回来的是绿色,negative
衣服质量太差了，刚几天就烂了。客服一直没人，没人解决问题。,negative
太垃圾了真薄,negative
号不对型,negative
挺不错的我喜欢经济,positive
退货了   不知道好不好,negative
价格和商品相吻合,positive
不错,positive
大小合适，现在穿正好，也很厚实暖和,positive
我的身高体重：身高185体重170  面料品质：感觉不错值得购买物有所值,positive
物流速度快 商家服务态度好 物有所值  衣服质量不错 建议购买,positive
质量特别好，这个价格太便宜了,positive
衣服质量很好，性价比很高，很满意。,positive
很好，买了两次了,positive
面料品质：,negative
很好,positive
东西很喜欢，质量也很好的，这个价格能买到是真的很划算,positive
没见过这么好的,positive
每年冬天都要买四五件工作用，见过臭的，一般挂几天或洗一次就好了，但是我**没见过这么臭的  ，挂了3-4天，还是臭得头发晕，无果洗衣机洗一下，今天晾干了，闻了下，还是**臭得头晕。现在赚钱连最基本的道德底线都没有了吗。虽然50r不到，但我以前35r也买过啊，也没这么臭啊。,negative
。。。,negative
挺超值,positive
不错，物有所值。,positive
还行就是尺码偏大,negative
感觉大了,negative
物流非常快，品质非常好，穿上去非常舒服,positive
材质结实，手感好，很得劲，物流也快，性价比很高，值得购买，穿起来很舒服,positive
下次还要买,positive
质量好，穿着舒服,positive
便宜，性价比高,positive
一般，气味有点大,negative
好评,positive
一收到货了，质量很好，  厚薄度：也正好，面料柔软舒适又透气，喜欢,positive
一份价一分货，这个价格买这样的衣服还是蛮划算的。,positive
面料不怎么舒服摸起来,negative
这一件是帮亲戚买的，他的身高。比我高一点，这个尺码他穿刚刚合适，给个好评。,positive
很好，这个价格简直是物有所值，推荐大家在这一家购买。,positive
衣服收到了，穿着不仅暖和而且好看，质量是不错的 ,positive
货收到，物流快，非常满意,positive
质量很好五星好评！,positive
买来工作穿的，挺好的,positive
物有所值,positive
质量很好，而且做工超好，面料手感很好👍,positive
衣服收到了穿着很暖和很满意,positive
此用户没有填写评论!,negative
穿五六天煤化没划碎了，就这我还买了俩  面料品质：差差,negative
衣服收到了，穿着不仅暖和而且好看，物超所值！,positive
content,label
挺不错的我喜欢经济,positive
退货了   不知道好不好,negative
价格和商品相吻合,positive
不错,positive
大小合适，现在穿正好，也很厚实暖和,positive
我的身高体重：身高185体重170  面料品质：感觉不错值得购买物有所值,positive
物流速度快 商家服务态度好 物有所值  衣服质量不错 建议购买,positive
质量特别好，这个价格太便宜了,positive
衣服质量很好，性价比很高，很满意。,positive
很好，买了两次了,positive
面料品质：,negative
很好,positive
东西很喜欢，质量也很好的，这个价格能买到是真的很划算,positive
没见过这么好的,positive
每年冬天都要买四五件工作用，见过臭的，一般挂几天或洗一次就好了，但是我**没见过这么臭的  ，挂了3-4天，还是臭得头发晕，无果洗衣机洗一下，今天晾干了，闻了下，还是**臭得头晕。现在赚钱连最基本的道德底线都没有了吗。虽然50r不到，但我以前35r也买过啊，也没这么臭啊。,negative
。。。,negative
挺超值,positive
不错，物有所值。,positive
还行就是尺码偏大,negative
感觉大了,negative
物流非常快，品质非常好，穿上去非常舒服,positive
材质结实，手感好，很得劲，物流也快，性价比很高，值得购买，穿起来很舒服,positive
下次还要买,positive
质量好，穿着舒服,positive
便宜，性价比高,positive
一般，气味有点大,negative
好评,positive
一收到货了，质量很好，  厚薄度：也正好，面料柔软舒适又透气，喜欢,positive
一份价一分货，这个价格买这样的衣服还是蛮划算的。,positive
面料不怎么舒服摸起来,negative
这一件是帮亲戚买的，他的身高。比我高一点，这个尺码他穿刚刚合适，给个好评。,positive
很好，这个价格简直是物有所值，推荐大家在这一家购买。,positive
衣服收到了，穿着不仅暖和而且好看，质量是不错的 .,positive
货收到，物流快，非常满意,positive
质量很好五星好评！,positive
买来工作穿的，挺好的,positive
物有所值,positive
质量很好，而且做工超好，面料手感很好👍,positive
衣服收到了穿着很暖和很满意,positive
此用户没有填写评论!,negative
穿五六天煤化没划碎了，就这我还买了俩  面料品质：差差,negative
